marca_telefono,modelo_telefono,tienda,precio_usd,almacenamiento,ram,fecha_lanzamiento,dimensiones,peso,tipo_pantalla,tama̱o_pantalla,resolucion_pantalla,sistema operativo,nfc,usb,bateria,caracteristicas_sensores,colores,video,chipset,cpu,gpu,a̱o,plegable,densidad ppi, quantile_10,quantile_50,quantile_90,rango_precio,tipo_os,version_os,tama̱o_bateria,colores_disponibles,empresa_chip,n̼cleo_cpu,empresa_gpu,huella digital,resolucion_video
0,22,1,1357.55,256,8,2024-09-20,21,199.0,180,6.3,22,211,1,23,3582,4,21,13,8,11,30,2024-01-01,0,460,161.707,550.45,1375.35,2,3,12,2,4,0,1,1,1,1
0,22,1,1492.55,512,8,2024-09-20,21,199.0,180,6.3,22,211,1,23,3582,4,21,13,8,11,30,2024-01-01,0,460,161.707,550.45,1375.35,0,3,12,2,4,0,1,1,1,1
0,22,1,1705.32,1000,8,2024-09-20,21,199.0,180,6.3,22,211,1,23,3582,4,21,13,8,11,30,2024-01-01,0,460,161.707,550.45,1375.35,0,3,12,2,4,0,1,1,1,1
0,23,1,1564.92,512,8,2024-09-20,211,227.0,180,6.9,40,211,1,23,4685,4,21,13,8,11,30,2024-01-01,0,460,161.707,550.45,1375.35,0,3,12,1,4,0,1,1,1,1
0,7,1,247.32,128,4,2020-11-13,0,135.0,256,5.4,1,206,1,0,2227,4,82,25,3,5,28,2020-01-01,0,476,100.8,196.81,491.512,2,3,6,3,6,0,1,1,1,1
0,7,1,319.68,256,4,2020-11-13,0,135.0,256,5.4,1,206,1,0,2227,4,82,25,3,5,28,2020-01-01,0,476,100.8,196.81,491.512,2,3,6,3,6,0,1,1,1,1
0,11,1,427.14,256,4,2021-09-24,1,141.0,257,5.4,1,207,1,0,2438,4,373,26,4,7,28,2021-01-01,0,476,127.03,249.99,581.99,2,3,8,3,6,0,1,1,1,1
0,11,1,467.64,512,4,2021-09-24,1,141.0,257,5.4,1,207,1,0,2438,4,373,26,4,7,28,2021-01-01,0,476,127.03,249.99,581.99,2,3,8,3,6,0,1,1,1,1
0,27,1,213.85,128,3,2018-10-26,24,194.0,186,6.1,67,204,1,0,2942,4,57,28,1,3,28,2018-01-01,0,326,140.912,213.85,310.648,2,3,3,3,6,0,1,1,1,1
0,27,1,214.92,256,3,2018-10-26,24,194.0,186,6.1,67,204,1,0,2942,4,57,28,1,3,28,2018-01-01,0,326,140.912,213.85,310.648,2,3,3,3,6,0,1,1,1,1
0,29,1,268.57,256,4,2018-09-21,43,208.0,252,6.5,30,204,1,0,3174,4,367,28,1,3,28,2018-01-01,0,458,140.912,213.85,310.648,2,3,3,3,3,0,1,1,1,1
0,29,1,304.87,512,4,2018-09-21,43,208.0,252,6.5,30,204,1,0,3174,4,367,28,1,3,28,2018-01-01,0,458,140.912,213.85,310.648,2,3,3,3,3,0,1,1,1,1
0,6,1,524.79,256,6,2020-11-13,110,228.0,257,6.7,37,206,1,0,3687,4,357,24,3,5,28,2020-01-01,0,458,100.8,196.81,491.512,0,3,6,2,4,0,1,1,1,1
0,6,1,626.4,512,6,2020-11-13,110,228.0,257,6.7,37,206,1,0,3687,4,357,24,3,5,28,2020-01-01,0,458,100.8,196.81,491.512,0,3,6,2,4,0,1,1,1,1
0,26,1,230.96,256,3,2017-11-03,4,174.0,252,5.8,15,203,1,0,2716,4,366,21,0,12,31,2017-01-01,0,458,169.70600000000002,196.93,224.154,0,3,2,3,2,0,1,1,1,1
0,28,1,200.88,256,4,2018-09-21,4,177.0,252,5.8,15,204,1,0,2658,4,367,28,1,3,28,2018-01-01,0,458,140.912,213.85,310.648,2,3,3,3,3,0,1,1,1,1
0,28,1,291.6,512,4,2018-09-21,4,177.0,252,5.8,15,204,1,0,2658,4,367,28,1,3,28,2018-01-01,0,458,140.912,213.85,310.648,2,3,3,3,3,0,1,1,1,1
